data,valor
2011-03,3.17
2011-04,3.24
2011-05,3.37
2011-06,3.32
2011-07,3.42
2011-08,3.45
2011-09,3.46
2011-10,3.58
2011-11,3.58
2011-12,3.54
2012-01,3.66
2012-02,3.71
2012-03,3.67
2012-04,3.76
2012-05,3.76
2012-06,3.71
2012-07,3.72
2012-08,3.75
2012-09,3.72
2012-10,3.76
2012-11,3.67
2012-12,3.55
2013-01,3.55
2013-02,3.53
2013-03,3.46
2013-04,3.48
2013-05,3.48
2013-06,3.26
2013-07,3.22
2013-08,3.14
2013-09,3.15
2013-10,3.07
2013-11,2.98
2013-12,2.87
2014-01,2.86
2014-02,2.88
2014-03,2.91
2014-04,2.95
2014-05,3.02
2014-06,2.93
2014-07,2.98
2014-08,3.01
2014-09,2.94
2014-10,2.99
2014-11,2.88
2014-12,2.76
2015-01,2.85
2015-02,2.89
2015-03,2.85
2015-04,2.99
2015-05,3.06
2015-06,2.96
2015-07,3.07
2015-08,3.16
2015-09,3.16
2015-10,3.28
2015-11,3.42
2015-12,3.42
2016-01,3.52
2016-02,3.55
2016-03,3.58
2016-04,3.71
2016-05,3.79
2016-06,3.57
2016-07,3.61
2016-08,3.69
2016-09,3.74
2016-10,3.90
2016-11,3.86
2016-12,3.75
2017-01,3.79
2017-02,3.82
2017-03,3.91
2017-04,4.00
2017-05,4.11
2017-06,3.80
2017-07,3.75
2017-08,3.76
2017-09,3.66
2017-10,3.69
2017-11,3.60
2017-12,3.29
2018-01,3.48
2018-02,3.49
2018-03,3.35
2018-04,3.38
2018-05,3.37
2018-06,3.11
2018-07,3.08
2018-08,3.10
2018-09,3.11
2018-10,3.11
2018-11,3.02
2018-12,2.93
2019-01,3.01
2019-02,2.96
2019-03,3.04
2019-04,3.07
2019-05,3.10
2019-06,2.99
2019-07,3.10
2019-08,3.10
2019-09,3.11
2019-10,3.09
2019-11,3.06
2019-12,2.99
2020-01,3.06
2020-02,3.10
2020-03,3.24
2020-04,3.36
2020-05,3.31
2020-06,2.95
2020-07,2.82
2020-08,2.70
2020-09,2.47
2020-10,2.40
2020-11,2.27
2020-12,2.16
2021-01,2.19
2021-02,2.28
2021-03,2.18
2021-04,2.24
2021-05,2.39
2021-06,2.32
2021-07,2.36
2021-08,2.37
2021-09,2.34
2021-10,2.33
2021-11,2.36
2021-12,2.35
2022-01,2.51
2022-02,2.57
2022-03,2.66
2022-04,2.72
2022-05,2.79
2022-06,2.73
2022-07,2.84
2022-08,2.90
2022-09,2.92
2022-10,3.04
2022-11,3.07
2022-12,3.07
2023-01,3.24
2023-02,3.36
2023-03,3.35
2023-04,3.54
2023-05,3.65
2023-06,3.61
2023-07,3.63
2023-08,3.61
2023-09,3.54
2023-10,3.56
2023-11,3.53
2023-12,3.29
2024-01,3.38
2024-02,3.38
2024-03,3.33
2024-04,3.37
2024-05,3.43
2024-06,3.29
2024-07,3.30
2024-08,3.33
2024-09,3.34
2024-10,3.30
2024-11,3.27
2024-12,3.08
2025-01,3.34
2025-02,3.41
2025-03,3.44
2025-04,3.67
2025-05,3.72
2025-06,3.75
2025-07,3.96
2025-08,4.14
2025-09,4.09
2025-10,4.18
2025-11,4.23
2025-12,4.20
2026-01,4.45
2026-02,4.64
2026-03,4.52
2026-04,4.63
2026-05,4.74
