data,valor
2011-03,4.62
2011-04,4.67
2011-05,4.82
2011-06,4.79
2011-07,4.90
2011-08,4.97
2011-09,5.03
2011-10,5.17
2011-11,5.22
2011-12,5.22
2012-01,5.36
2012-02,5.40
2012-03,5.36
2012-04,5.41
2012-05,5.51
2012-06,5.43
2012-07,5.42
2012-08,5.40
2012-09,5.41
2012-10,5.34
2012-11,5.21
2012-12,5.10
2013-01,5.03
2013-02,4.98
2013-03,4.94
2013-04,4.85
2013-05,4.88
2013-06,4.61
2013-07,4.56
2013-08,4.45
2013-09,4.44
2013-10,4.25
2013-11,4.15
2013-12,4.06
2014-01,4.03
2014-02,4.00
2014-03,4.05
2014-04,4.10
2014-05,4.16
2014-06,3.98
2014-07,4.05
2014-08,4.04
2014-09,3.94
2014-10,3.98
2014-11,3.84
2014-12,3.67
2015-01,3.75
2015-02,3.81
2015-03,3.67
2015-04,3.75
2015-05,3.86
2015-06,3.66
2015-07,3.78
2015-08,3.89
2015-09,3.95
2015-10,4.08
2015-11,4.20
2015-12,4.23
2016-01,4.30
2016-02,4.30
2016-03,4.25
2016-04,4.30
2016-05,4.32
2016-06,4.05
2016-07,4.10
2016-08,4.12
2016-09,4.18
2016-10,4.18
2016-11,4.09
2016-12,3.95
2017-01,3.98
2017-02,4.00
2017-03,4.01
2017-04,4.04
2017-05,4.10
2017-06,3.85
2017-07,3.95
2017-08,3.93
2017-09,3.87
2017-10,3.87
2017-11,3.77
2017-12,3.53
2018-01,3.72
2018-02,3.70
2018-03,3.64
2018-04,3.62
2018-05,3.59
2018-06,3.47
2018-07,3.50
2018-08,3.49
2018-09,3.41
2018-10,3.37
2018-11,3.30
2018-12,3.25
2019-01,3.34
2019-02,3.30
2019-03,3.36
2019-04,3.36
2019-05,3.41
2019-06,3.35
2019-07,3.44
2019-08,3.48
2019-09,3.54
2019-10,3.53
2019-11,3.54
2019-12,3.51
2020-01,3.57
2020-02,3.66
2020-03,3.94
2020-04,4.07
2020-05,3.98
2020-06,3.62
2020-07,3.46
2020-08,3.30
2020-09,3.14
2020-10,3.06
2020-11,2.97
2020-12,2.84
2021-01,2.88
2021-02,2.92
2021-03,2.87
2021-04,2.91
2021-05,2.97
2021-06,2.87
2021-07,2.90
2021-08,2.92
2021-09,2.97
2021-10,2.95
2021-11,2.97
2021-12,3.00
2022-01,3.21
2022-02,3.33
2022-03,3.39
2022-04,3.48
2022-05,3.59
2022-06,3.52
2022-07,3.65
2022-08,3.72
2022-09,3.74
2022-10,3.83
2022-11,3.85
2022-12,3.88
2023-01,4.04
2023-02,4.08
2023-03,4.03
2023-04,4.18
2023-05,4.25
2023-06,4.18
2023-07,4.14
2023-08,4.04
2023-09,3.92
2023-10,3.89
2023-11,3.79
2023-12,3.66
2024-01,3.67
2024-02,3.67
2024-03,3.62
2024-04,3.66
2024-05,3.69
2024-06,3.62
2024-07,3.70
2024-08,3.74
2024-09,3.75
2024-10,3.70
2024-11,3.66
2024-12,3.54
2025-01,3.78
2025-02,3.85
2025-03,3.91
2025-04,4.13
2025-05,4.24
2025-06,4.29
2025-07,4.54
2025-08,4.79
2025-09,4.76
2025-10,4.86
2025-11,5.00
2025-12,4.99
2026-01,5.24
2026-02,5.42
2026-03,5.26
2026-04,5.37
