data,valor
2011-01,1.6749
2011-02,1.6680
2011-03,1.6591
2011-04,1.5864
2011-05,1.6135
2011-06,1.5870
2011-07,1.5639
2011-08,1.5970
2011-09,1.7498
2011-10,1.7726
2011-11,1.7905
2011-12,1.8369
2012-01,1.7897
2012-02,1.7184
2012-03,1.7953
2012-04,1.8548
2012-05,1.9860
2012-06,2.0492
2012-07,2.0287
2012-08,2.0294
2012-09,2.0281
2012-10,2.0298
2012-11,2.0678
2012-12,2.0778
2013-01,2.0311
2013-02,1.9733
2013-03,1.9828
2013-04,2.0022
2013-05,2.0348
2013-06,2.1730
2013-07,2.2522
2013-08,2.3422
2013-09,2.2705
2013-10,2.1886
2013-11,2.2954
2013-12,2.3455
2014-01,2.3822
2014-02,2.3837
2014-03,2.3261
2014-04,2.2328
2014-05,2.2209
2014-06,2.2355
2014-07,2.2246
2014-08,2.2680
2014-09,2.3329
2014-10,2.4483
2014-11,2.5484
2014-12,2.6394
2015-01,2.6342
2015-02,2.8165
2015-03,3.1395
2015-04,3.0432
2015-05,3.0617
2015-06,3.1117
2015-07,3.2231
2015-08,3.5143
2015-09,3.9065
2015-10,3.8801
2015-11,3.7765
2015-12,3.8711
2016-01,4.0524
2016-02,3.9737
2016-03,3.7039
2016-04,3.5658
2016-05,3.5393
2016-06,3.4245
2016-07,3.2756
2016-08,3.2097
2016-09,3.2564
2016-10,3.1858
2016-11,3.3420
2016-12,3.3523
2017-01,3.1966
2017-02,3.1042
2017-03,3.1279
2017-04,3.1362
2017-05,3.2095
2017-06,3.2954
2017-07,3.2061
2017-08,3.1509
2017-09,3.1348
2017-10,3.1912
2017-11,3.2594
2017-12,3.2919
2018-01,3.2106
2018-02,3.2415
2018-03,3.2792
2018-04,3.4075
2018-05,3.6361
2018-06,3.7732
2018-07,3.8288
2018-08,3.9298
2018-09,4.1165
2018-10,3.7584
2018-11,3.7867
2018-12,3.8851
2019-01,3.7417
2019-02,3.7236
2019-03,3.8465
2019-04,3.8962
2019-05,4.0015
2019-06,3.8588
2019-07,3.7793
2019-08,4.0200
2019-09,4.1215
2019-10,4.0870
2019-11,4.1553
2019-12,4.1096
2020-01,4.1495
2020-02,4.3410
2020-03,4.8839
2020-04,5.3256
2020-05,5.6434
2020-06,5.1966
2020-07,5.2802
2020-08,5.4612
2020-09,5.3995
2020-10,5.6258
2020-11,5.4178
2020-12,5.1456
2021-01,5.3562
2021-02,5.4165
2021-03,5.6461
2021-04,5.5621
2021-05,5.2911
2021-06,5.0319
2021-07,5.1567
2021-08,5.2517
2021-09,5.2797
2021-10,5.5400
2021-11,5.5569
2021-12,5.6514
2022-01,5.5341
2022-02,5.1966
2022-03,4.9684
2022-04,4.7580
2022-05,4.9551
2022-06,5.0492
2022-07,5.3681
2022-08,5.1433
2022-09,5.2370
2022-10,5.2503
2022-11,5.2747
2022-12,5.2424
2023-01,5.2007
2023-02,5.1717
2023-03,5.2115
2023-04,5.0197
2023-05,4.9828
2023-06,4.8516
2023-07,4.8008
2023-08,4.9035
2023-09,4.9370
2023-10,5.0648
2023-11,4.8983
2023-12,4.8972
2024-01,4.9144
2024-02,4.9644
2024-03,4.9801
2024-04,5.1291
2024-05,5.1330
2024-06,5.3890
2024-07,5.5420
2024-08,5.5526
2024-09,5.5416
2024-10,5.6241
2024-11,5.8071
2024-12,6.0970
2025-01,6.0218
2025-02,5.7656
2025-03,5.7468
2025-04,5.7837
2025-05,5.6674
2025-06,5.5471
2025-07,5.5285
2025-08,5.4469
2025-09,5.3674
2025-10,5.3855
2025-11,5.3409
2025-12,5.4531
2026-01,5.3380
2026-02,5.2006
2026-03,5.2316
2026-04,5.0331
2026-05,4.9837
2026-06,5.1276
