data,valor
2011-01,10.85
2011-02,11.17
2011-03,11.62
2011-04,11.74
2011-05,11.92
2011-06,12.10
2011-07,12.25
2011-08,12.42
2011-09,11.91
2011-10,11.70
2011-11,11.40
2011-12,10.90
2012-01,10.70
2012-02,10.40
2012-03,9.82
2012-04,9.35
2012-05,8.87
2012-06,8.39
2012-07,8.07
2012-08,7.85
2012-09,7.39
2012-10,7.23
2012-11,7.14
2012-12,7.16
2013-01,7.11
2013-02,7.12
2013-03,7.15
2013-04,7.26
2013-05,7.42
2013-06,7.90
2013-07,8.23
2013-08,8.45
2013-09,8.90
2013-10,9.25
2013-11,9.45
2013-12,9.90
2014-01,10.17
2014-02,10.43
2014-03,10.65
2014-04,10.87
2014-05,10.90
2014-06,10.90
2014-07,10.90
2014-08,10.90
2014-09,10.90
2014-10,10.92
2014-11,11.15
2014-12,11.58
2015-01,11.82
2015-02,12.15
2015-03,12.58
2015-04,12.68
2015-05,13.15
2015-06,13.58
2015-07,13.69
2015-08,14.15
2015-09,14.15
2015-10,14.15
2015-11,14.15
2015-12,14.15
2016-01,14.15
2016-02,14.15
2016-03,14.15
2016-04,14.15
2016-05,14.15
2016-06,14.15
2016-07,14.15
2016-08,14.15
2016-09,14.15
2016-10,14.05
2016-11,13.90
2016-12,13.65
2017-01,13.17
2017-02,12.82
2017-03,12.15
2017-04,11.59
2017-05,11.15
2017-06,10.15
2017-07,10.01
2017-08,9.15
2017-09,8.35
2017-10,8.01
2017-11,7.40
2017-12,7.00
2018-01,6.90
2018-02,6.72
2018-03,6.58
2018-04,6.40
2018-05,6.40
2018-06,6.40
2018-07,6.40
2018-08,6.40
2018-09,6.40
2018-10,6.40
2018-11,6.40
2018-12,6.40
2019-01,6.40
2019-02,6.40
2019-03,6.40
2019-04,6.40
2019-05,6.40
2019-06,6.40
2019-07,6.40
2019-08,5.90
2019-09,5.71
2019-10,5.38
2019-11,4.90
2019-12,4.59
2020-01,4.40
2020-02,4.19
2020-03,3.95
2020-04,3.65
2020-05,3.01
2020-06,2.58
2020-07,2.15
2020-08,1.94
2020-09,1.90
2020-10,1.90
2020-11,1.90
2020-12,1.90
2021-01,1.90
2021-02,1.90
2021-03,2.23
2021-04,2.65
2021-05,3.29
2021-06,3.76
2021-07,4.15
2021-08,5.01
2021-09,5.43
2021-10,6.30
2021-11,7.65
2021-12,8.76
2022-01,9.15
2022-02,10.49
2022-03,11.15
2022-04,11.65
2022-05,12.51
2022-06,12.89
2022-07,13.15
2022-08,13.58
2022-09,13.65
2022-10,13.65
2022-11,13.65
2022-12,13.65
2023-01,13.65
2023-02,13.65
2023-03,13.65
2023-04,13.65
2023-05,13.65
2023-06,13.65
2023-07,13.65
2023-08,13.19
2023-09,12.97
2023-10,12.65
2023-11,12.17
2023-12,11.87
2024-01,11.65
2024-02,11.15
2024-03,11.00
2024-04,10.65
2024-05,10.46
2024-06,10.40
2024-07,10.40
2024-08,10.40
2024-09,10.50
2024-10,10.65
2024-11,11.04
2024-12,11.77
2025-01,12.24
2025-02,13.15
2025-03,13.57
2025-04,14.15
2025-05,14.55
2025-06,14.74
2025-07,14.90
2025-08,14.90
2025-09,14.90
2025-10,14.90
2025-11,14.90
2025-12,14.90
2026-01,14.90
2026-02,14.90
2026-03,14.80
2026-04,14.64
2026-05,14.40
2026-06,14.40
